songs,title,description
"['Sleepwalk: Santo & Johnny', 'Rock the Casbah - Remastered: The Clash', 'Sunny: Bobby Hebb', 'Going To California: Led Zeppelin', 'Baby Blue: King Krule', 'Easy Living: Billie Holiday', 'The Winner Is - from Little Miss Sunshine: DeVotchKa', 'Rock with You - Single Version: Michael Jackson', ""I Can't Quit You Baby: Led Zeppelin"", 'I Got You (I Feel Good): James Brown & The Famous Flames', 'Dreaming: Mac Demarco', 'Dream A Little Dream Of Me: Ella Fitzgerald', 'Feeling Good: Nina Simone', 'Bron-Yr-Aur: Led Zeppelin', 'New Slang: The Shins', 'Flow: Cage The Elephant', 'Crying Shame: Jack Johnson', 'Work Song: Hozier', 'Coffee: Sylvan Esso']",morning ;),"gooooood moring, darling"
"['Can You Feel The Love Tonight - Instrumental: Fred Mollin', 'A Thousand Years: The Piano Guys', 'De Pies A Cabeza: Maná', 'Best Day Of My Life: American Authors', 'Amazed: Lonestar', 'Solo Con Verte: Banda Sinaloense MS de Sergio Lizárraga', 'El Privilegio De Amar: Mijares', ""1, 2, 3, 4: Plain White T's"", 'Heartbeats: José González', 'You And Me: Lifehouse', ""Say You Won't Let Go: James Arthur"", 'Sopa De Caracol: Banda Blanca', ""Superhero: Jane's Addiction"", 'Tú de Qué Vas: Franco De Vita', 'Ella es Unica: Franco De Vita', 'When You Say Nothing At All: Boyzone', 'Treat Her Right: Sawyer Brown', 'Something Just Like This: The Chainsmokers']",Wedding Ceremony,ceremony and such
"['B.Y.O.B.: System Of A Down', 'Toxicity: System Of A Down', 'Chop Suey!: System Of A Down', 'Molly Cyrus: Stitches', 'Brick in Yo Face: Stitches', 'Die MF Die: Dope', 'The Final Countdown: Europe', 'Danger Zone: Kenny Loggins', 'Panama - 2015 Remastered Version: Van Halen', 'Cum on Feel the Noize: Quiet Riot', 'Enter Sandman: Metallica', 'The Time Is Now (John Cena): John Cena', 'Bodies: Drowning Pool', ""Rollin' (Air Raid Vehicle): Limp Bizkit"", 'Freak On a Leash: Korn', 'Here I Go Again: Whitesnake', 'Master Of Puppets: Metallica', 'Thunderstruck: AC/DC']",RAGE,when you&#x27;re feeling down to clown
"['Q.U.E.E.N. [feat. Erykah Badu]: Janelle Monáe', 'Bring The Noise: Public Enemy', 'People Got To Be Free: Martha Reeves & The Vandellas', 'The Revolution Will Not Be Televised: Gil Scott-Heron', 'Get Off the Internet: Le Tigre', 'My Love Is Free: Double Exposure', ""I Ain't Been Licked: Diana Ross"", ""You Haven't Done Nothin': Stevie Wonder"", 'The Message (feat. Melle Mel & Duke Bootee): Grandmaster Flash & The Furious Five', 'Double Dare Ya: Bikini Kill', 'Standing In The Way of Control: Gossip', 'Fight The Power - From ""Do The Right Thing"" Soundtrack: Public Enemy', 'Right Right Now Now: Beastie Boys', 'Move On Up: Curtis Mayfield', 'Stand!: Sly & The Family Stone', 'Revolution (Pts. 1 and 2): Nina Simone', 'Stand Up and Shout About Love: Larry Graham', ""Freedom! '90 - Remastered: George Michael""]",Rise Up,"Electric ladies, will you sleep? Or will you preach?"
"['Sober: Childish Gambino', 'Rocketeer: Far East Movement', 'Daydreamer: Adele', 'Chasing Pavements: Adele', 'Sunday Candy: Donnie Trumpet & The Social Experiment', 'Latch: Disclosure', 'Butterfly: In the Anytime']",Nostalgic,songs that remind me of my formative years
"[""she only likes me when i'm drunk: frumhere"", 'Angels: LAKEY INSPIRED', 'Fade: Knowmadic', 'Time: Knowmadic', 'Wakin Up Early: Ian Ewing', 'light: Jinsang', 'september rain: Jinsang', 'seeing you: Idealism', 'peace: Sleepdealer', 'breathe: Sleepdealer', 'Waiting for You: Verzache', 'Pillow: Bilo 503', 'falling down (feat. shiloh): Nohidea', 'Saturdays: LAKEY INSPIRED', 'Six Forty Seven: Instupendo', 'Garden/lost: Nohidea', 'p r e t t y: eevee', 'Homme: Instupendo', ""l'amour [intro]: Nohidea""]",ya,study music or somethin
"['Somebody Else: The 1975', 'Fancy: Xavier Dunn', 'Stay With Me - Live From Spotify Berlin: Angus & Julia Stone', 'Drag Me Down/As Long As You Love Me: Gardiner Sisters', 'Cool Kids/Riptide (Originally Performed by Echosmith and Vance Joy): Less Is More', 'Little Talks: Julia Sheer', 'LIKE I WOULD: ZAYN', 'Video Games: Lana Del Rey', 'Blank Space: Ryan Adams', ""You're The One That I Want: Julia Stone"", ""Sweet Child O' Mine: Taken By Trees"", 'Rather Be: Jasmine Thompson', 'Blank Space/Stand By Me - Live From Spotify London: Imagine Dragons', ""Hold On, We're Going Home - Live From Spotify Singapore / 2014: Yuna""]",BuBbLeS,I listen to this when I take a bath so yee
"['Scenic World (Version): Beirut', 'Rise: Eddie Vedder', 'Count On Me: Mat Kearney', 'Wooden Eyes: Oketo', 'Out of Sorts: Atta Boy', 'Wood: Rostam', 'Teeth White: The Staves', 'All The Dogs Are Lying Down: Johnny Flynn', 'Revolution 1 - Remastered: The Beatles']",new start,"a playlist made to accompany any new beginning, whether departing for travel,  the dawn of a day, or just refreshing the soul."
"['Vampires: Frank Carter & The Rattlesnakes', ""You're In Love With a Psycho: Kasabian"", 'Pork Soda: Glass Animals', 'Agnes: Glass Animals', 'Heathen: Colouring', 'At Most A Kiss: Blossoms', ""Get High (No, I Don't): Maximo Park"", 'Oblivion: HAUS', 'Spinning Out: The Charlatans', 'Heavy and Ephemeral: Brooke Bentham', 'Delicious Light: Beyond The Wizards Sleeve', 'Star Roving: Slowdive', 'A Fever Dream: Everything Everything', 'Fortune 500: Everything Everything']",London Calling *,* Best of recent released from UK-based bands. Emphasis on rock. Best enjoyed with a cuppa.
"['Wild World: Yusuf / Cat Stevens', 'Hollywood: The Black Skirts', 'Fast Car: Tracy Chapman', 'haunt me (x 3): Teen Suicide', 'Memo: Years & Years', 'Iris: The Goo Goo Dolls', 'The Light She Brings: Joep Beving', 'Nuvole Bianche: Ludovico Einaudi', 'Girlfriend (German Version - Explicit) - German Version - Explicit: Avril Lavigne', 'Sk8er Boi: Avril Lavigne', 'Africa: Toto', 'Dream On: Aerosmith', 'Every Breath You Take - Remastered 2003: The Police', 'Have You Ever Seen The Rain?: Creedence Clearwater Revival', 'Black Skinhead: Kanye West', 'House Of The Rising Sun: The Animals', ""Free Fallin': Tom Petty""]",park,late nite vibes
"['Juanito Alimana: Willie Colón', ""Lloraras: Oscar D'León"", 'Quimbara: Celia Cruz', 'El Dia De Suerte: Willie Colón', 'Suavemente: Elvis Crespo', 'El Sol de la Noche: Salsa Celtica', 'Eres Tu - Salsa: Elvis Crespo', 'Cali Pachanguero: Grupo Niche', 'Micaela: Sonora Carruseles', 'La Negra Tiene Tumbao: Celia Cruz', 'La Vida Es Un Carnaval: Celia Cruz', 'Rie y Llora: Celia Cruz', 'Vivir Mi Vida: Marc Anthony', 'Obsesion: Aventura']",fiesta!!!,cover art: the bride frightened at seeing life by frida kahlo
"['Snooze: Johnny Yukon', 'LOVE. FEAT. ZACARI.: Kendrick Lamar', 'Evil - RAC Mix: James Vincent McMorrow', 'Silence: Marshmello', 'Apparently: J. Cole']",Mellow Beats,Mellow + Creative + Smooth
